text	category	region	language	cultural_score	quality_score
(1953) An Introduction to Santali	language	Unknown	Santali	2	6.0606060606060606
"> “Santali: Also spoken in Nepal"""	language	Unknown	Santali	2	6.0606060606060606
“Santali Bhasa O Sahityer Itihas”	language	Unknown	Santali	2	6.0606060606060606
Tribal Religion: Religious Beliefs and Practices among the Santals	customs	Unknown	Santali	4	6.0606060606060606
Santalia: Catalogue of Santali Manuscripts in Oslo	language	Unknown	Santali	3	6.0
"""Santali Localization"" (http://www"	language	Unknown	Santali	2	5.88235294117647
71 Choksi, ‘Language to Script’, p	language	Unknown	Santali	2	5.88235294117647
"in the traditional 
tribal society"	festival	Unknown	Santali	2	5.88235294117647
"Culture gives indigenous identity to the Santals 
3"	customs	Unknown	Santali	3	5.88235294117647
6 In the 1920s Raghunath Murmu conceptualised the Ol Chiki script for Santali language	language	Unknown	Santali	5	5.813953488372093
Bodding has contributed to Santali language and literature enormously	language	Unknown	Santali	4	5.797101449275362
"""Santali: Paharia language"" (http://globalrecordings"	language	Unknown	Santali	3	5.769230769230769
Santali language is the main parts of Munda language	language	Unknown	Santali	3	5.769230769230769
"Santal culture is a rich culture 
2"	customs	Unknown	Santali	2	5.714285714285714
"The Santali script is a 
relatively recent innovation"	language	Unknown	Santali	3	5.660377358490567
Tribal Material Culture, The Santal of Northern India	customs	Unknown	Santali	3	5.660377358490567
"The festival is celebrated with music and dance throughout 
the village"	festival	Unknown	Santali	4	5.633802816901409
"org/wiki/Santali_language
12/23
ako-ge=ko
3pl-emph=3pl"	language	Unknown	Santali	3	5.555555555555555
"""Ol Chiki Script"" (http://wesanthals"	language	Unknown	Santali	2	5.555555555555555
gov/catdir/cpso/romanization/santali	language	Unknown	Santali	2	5.555555555555555
"[25] ""Santali: Also spoken in Nepal"""	language	Unknown	Santali	2	5.555555555555555
"The Santali songs also have 
variety"	language	Unknown	Santali	2	5.555555555555555
"), Languages of Tribal
and Indigenous Peoples of India"	customs	Unknown	Santali	3	5.555555555555555
"“Development of Santali Language
and Literature and its Recognition” (pp"	language	Unknown	Santali	4	5.555555555555555
Materials for a Santali Grammar, Vol	language	Unknown	Santali	2	5.555555555555555
along with their traditional rituals	customs	Unknown	Santali	2	5.555555555555555
The Santali script is a comparatively recent innovation	language	Unknown	Santali	3	5.454545454545454
"Those who have learned Santali and Ol Chiki can learn and 
advance their traditional culture"	language	Unknown	Santali	5	5.434782608695652
Sahibganj, Bihar : Santali Book Depot	language	Bihar	Santali	2	5.405405405405405
"gov/catdir/cpso/romanization/
santali"	language	Unknown	Santali	2	5.405405405405405
"Traditional 
culture 
involves 
23(22"	festival	Unknown	Santali	2	5.405405405405405
"Troisi, Tribal Religion: Religious 
Belief and Practices among the Santals"	customs	Unknown	Santali	4	5.405405405405405
"The Santali word for song is ""Sereng"""	language	Unknown	Santali	2	5.405405405405405
"Language, Culture and
Nation Building"	customs	Unknown	Santali	2	5.405405405405405
"in/santali
Retrieved from ""https://en"	language	Unknown	Santali	2	5.405405405405405
Tribal Culture, Continuity and Change	customs	Unknown	Santali	2	5.405405405405405
"Santali language and literature are the emotion and 
feelings of a society"	language	Unknown	Santali	4	5.405405405405405
"12 | Page 
The language spoken by the Santals is Santali"	language	Unknown	Santali	3	5.357142857142857
"In fact, Bodding gave a new phase to 
Santali literature"	language	Unknown	Santali	3	5.357142857142857
"[W]
Sohrai is the principal festival of Santal community"	festival	Unknown	Santali	3	5.357142857142857
"Troisi, Tribal Religion: Religious Belief and Practices 
among the Santals)"	customs	Unknown	Santali	4	5.333333333333334
"[8]
Ol Chiki as a Santali script is widely accepted among Santal communities"	language	Unknown	Santali	4	5.263157894736842
"Presently in West Bengal,
Odisha, and Jharkhand, Ol Chiki is the official script for Santali literature & language"	language	Jharkhand	Santali	6	5.263157894736842
"15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	5.263157894736842
"15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	5.263157894736842
"15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	5.263157894736842
org/details/asantalienglish00campgoog)	language	Unknown	Santali	2	5.263157894736842
"Changing Pattern of Santali Language 
151 
Carrin, Marine"	language	Unknown	Santali	3	5.263157894736842
"“Promoting Tribal Languages in Education: A Case Study of Santali in 
Orissa"	language	Unknown	Santali	4	5.263157894736842
"Other
than these they practice agriculture to some extent"	farming	Unknown	Santali	3	5.263157894736842
"org/wiki/Santali_language
22/23
Retrieved from ""https://en"	language	Unknown	Santali	3	5.172413793103448
Troisi, Tribal Religion: Religious Belief and Practices among the Santals, 56)	customs	Unknown	Santali	4	5.128205128205128
Tribal Heritage: A Study of The Santals	customs	Unknown	Santali	2	5.128205128205128
Tribal Heritage; a Study of the Santals	customs	Unknown	Santali	2	5.128205128205128
"org/wiki/Santali_language
15/23
ɔjɔn-ad-e-a=ɲ
medicine-appl"	language	Unknown	Santali	3	5.084745762711865
"Santali language and Munda language complement  each 
other"	gender	Unknown	Santali	3	5.084745762711865
"From that day the new journey of  Santali literature 
began"	language	Unknown	Santali	3	5.084745762711865
"Troisi, Tribal 
Religion: Religious Belief and Practices among the Santals, 27)"	customs	Unknown	Santali	4	5.063291139240507
"Troisi, Tribal Religion: Religious Belief and Practices 
among the Santals, 27)"	customs	Unknown	Santali	4	5.063291139240507
An Introduction to Santali, Parts I & II	language	Unknown	Santali	2	5.0
"Troisi, Tribal Religion: Religious Belief and Practices 
among the Santals, 192)"	customs	Unknown	Santali	4	5.0
"32
Board of Santali Education 1987: 1-17"	language	Unknown	Santali	2	5.0
Comparative Study of Santali and Bengali	language	West Bengal	Santali	2	5.0
The tribe that speak the Santali language is know as Santali	language	Unknown	Santali	3	5.0
Ancient time the People who speak Santali language are santal	language	Unknown	Santali	3	4.918032786885246
"For example - language, script, society, culture, dance, music, work, religion, 
worship and many more"	festival	Unknown	Santali	5	4.901960784313726
"The traditional 
culture has deteriorated"	festival	Unknown	Santali	2	4.878048780487805
"Cultural Practices 
Engage in traditional Santal cultural 
practices and festivals"	festival	Unknown	Santali	4	4.878048780487805
Santal of Bangladesh: Society and Culture	social	Unknown	Santali	2	4.878048780487805
"Different languages are playing sturdy role for changing 
the practices of Santali language and culture"	gender	Unknown	Santali	5	4.854368932038835
A comparative study of Santali and Bengali	language	West Bengal	Santali	2	4.761904761904762
"se/rwaai)
Santali language in RWAAI Digital Archive (http://hdl"	language	Unknown	Santali	3	4.761904761904762
"Troisi, Tribal Religion: Religious Belief and Practices among the 
Santals, 166-175)"	customs	Unknown	Santali	4	4.761904761904762
Jadupatua in the Context of Santal Culture	customs	Unknown	Santali	2	4.761904761904762
The Santals speak their own language Santali along with Bengali	language	West Bengal	Santali	3	4.761904761904762
"He 
translated the Old Testament of Bible into Santali language"	gender	Unknown	Santali	3	4.761904761904762
"Santal, a Natural Language (http
s://books"	customs	Unknown	Santali	2	4.761904761904762
"Tribal Agriculture and Modernization:
The Change and Continuity"	farming	Unknown	Santali	3	4.761904761904762
Santal are the largest population in Adivasi or Tribal community	gender	Unknown	Santali	3	4.6875
Santals glimpses of Culture and Identity Dr	customs	Unknown	Santali	2	4.651162790697675
"Santali basic books are available in 
India"	language	Unknown	Santali	2	4.651162790697675
com/features/dispatch/santali-talking-time/	language	Unknown	Santali	2	4.651162790697675
Santali folk lore is very rich and valuable	language	Unknown	Santali	2	4.651162790697675
Adibashider Bhasha (Language of Indigenous)	customs	Unknown	Santali	2	4.651162790697675
"History
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	4.615384615384616
"asp)
OLAC resources in and about the Santali language (http://www"	language	Unknown	Santali	3	4.615384615384616
So it turns out that there is not much work on Santali literature	language	Unknown	Santali	3	4.615384615384616
"""Script as Constellation among Munda Speaker: the case of Santali"	language	Unknown	Santali	3	4.615384615384616
"Knowing 
the place of Santali story literature in the world court"	language	Unknown	Santali	3	4.615384615384616
"The existence of an independent script for
Santali, Ol Chiki, gives it further prestige"	language	Unknown	Santali	4	4.597701149425287
"Adoption of new method of agriculture, cooking 
style and food habits are occasioning among the Santali women"	gender	Unknown	Santali	5	4.587155963302752
Benagaria: The Santali Literature Board, Santali Christian Council	language	Unknown	Santali	3	4.545454545454546
Santali basic lexicon with grammatical notes	language	Unknown	Santali	2	4.545454545454546
He hoped to follow the entire Santals script	language	Unknown	Santali	2	4.545454545454546
The name of community is Santals or Shantals	gender	Unknown	Santali	2	4.545454545454546
"29
Ol Chiki literally means “writing script”"	language	Unknown	Santali	2	4.545454545454546
 2016 – Santali Kahni Mala – Mahadeb Hansda	language	Unknown	Santali	2	4.545454545454546
"org/wiki/Santal_people
4/19
Santal women
age"	gender	Unknown	Santali	2	4.545454545454546
THE CONCEPT OF PEACE AND VALUES IN SANTALI CULTURE:  A STUDY IN THE	language	Unknown	Santali	3	4.477611940298507
A Santali-English dictionary (https://archive	language	Unknown	Santali	2	4.444444444444445
"This language has a
script known as “Olchiki”"	language	Unknown	Santali	2	4.444444444444445
Santal folktales mirror their culture, traditions, customs, beliefs, realities, and nature	customs	Unknown	Santali	4	4.444444444444445
Martin “A English-Santali Dictionary” in 1899	language	Unknown	Santali	2	4.444444444444445
"The Santhals speak the Santali 
language, one of the Munda languages"	language	Unknown	Santali	3	4.411764705882353
Description: Houses in a Santal village are built on both sides of the kulhi (village road)	housing	Unknown	Santali	4	4.395604395604396
North Munda dialects: Mundari, Santali, Bhumia	language	Unknown	Santali	2	4.3478260869565215
Parici-Parhat is the traditional Santal attire	festival	Unknown	Santali	2	4.3478260869565215
His parents didn‟t emphasize on speaking and writing Santali language	language	Unknown	Santali	3	4.3478260869565215
They are the largest tribal community in India	gender	Unknown	Santali	2	4.3478260869565215
"Like many other indigenous communities in Bangladesh, Santals have their 
own community life, language, and culture"	gender	Unknown	Santali	5	4.3478260869565215
"Today this language is spoken by 
many communities apart from Santali"	language	Unknown	Santali	3	4.3478260869565215
Even Santali writers have faced many obstacles	language	Unknown	Santali	2	4.3478260869565215
"org/wiki/Santali_language
16/23
ɲɛl-gɔt-ke-d-e-a=pɛ
see-aux-aor-tr-3sg"	language	Unknown	Santali	3	4.285714285714286
"Literature on their customs, tradition and 
culture are however scanty"	customs	Unknown	Santali	3	4.285714285714286
Keywords  :- Santali, Story Literature, History, Linguistics,  Ancient	language	Unknown	Santali	3	4.285714285714286
"It became evident that Santali and other Munda languages
could express an indigenous knowledge"	language	Unknown	Santali	4	4.25531914893617
"60 
 
TumalKahni Mala 
(Santali Folk Tales) 
Ed"	language	Unknown	Santali	2	4.25531914893617
 1995 – Njut Ar Marshal – Aditya Mitra Santali	language	Unknown	Santali	2	4.25531914893617
"Cole published “A 
Santali Primer” in 1896, Rev"	language	Unknown	Santali	2	4.25531914893617
"Keywords: Christian Missionaries, Santal Tribe, Culture, Traditions, Language and Literature 
1"	festival	Unknown	Santali	4	4.2105263157894735
Santal Village Community and the Santal Rebellion of 1855 (https://books	social	Unknown	Santali	3	4.166666666666666
But, the scope of using the Santali language is getting lower day by day	language	Unknown	Santali	3	4.166666666666666
"no
Munda would study Santali or vice versa, and no
non-tribal would study any of these languages"	language	Unknown	Santali	4	4.166666666666666
"However, at present, Santali literature is under threat from inside 
and outside their community"	language	Unknown	Santali	4	4.166666666666666
Santali caste is most seen and live in our India	language	Unknown	Santali	2	4.166666666666666
"To them their mother-tongue,
Santali, is like a foreign language to them"	language	Unknown	Santali	3	4.166666666666666
Similarly, globalization has also a thoughtful impact on Santali language	language	Unknown	Santali	3	4.10958904109589
"This situation made the teaching
of Santali in Ol Chiki nearly impossible"	language	Unknown	Santali	3	4.10958904109589
They have also reflected many Santals' practices, rituals, and traditions	customs	Unknown	Santali	3	4.10958904109589
"A Glimpse of Santali Grammar
(https://bharatavani"	language	Unknown	Santali	2	4.081632653061225
"A Glimpse of Santali Grammar
(https://bharatavani"	language	Unknown	Santali	2	4.081632653061225
2) in most of the songs and dances of the Santals	festival	Unknown	Santali	2	4.081632653061225
"In a sense, language is 
the substance of culture"	customs	Unknown	Santali	2	4.081632653061225
"The name of the 
community is Santals or Santhals"	gender	Unknown	Santali	2	4.081632653061225
"1st Edition – 2014, “Santali Sawnhed Reyag Nagam"""	language	Unknown	Santali	2	4.081632653061225
"The Santals speak Santali, the most widely spoken Munda
languages of Austroasiatic language family"	gender	Unknown	Santali	4	4.081632653061225
"org/wiki/Santali_language
14/23
sɛn-otʃo-daɽe-a-e-a=ɲ
go-caus-abil-ben-3sg"	language	Unknown	Santali	3	4.054054054054054
To know the greatness and spread of story literature in Santali literature	language	Unknown	Santali	3	4.054054054054054
"There are about seven types of dance forms presently practiced 
in Birbhum District by Santal women"	gender	Unknown	Santali	4	4.040404040404041
"Tribal Religion, Religious Beliefs and
Practices among the Santals:  Manohar Publication:
New Delhi"	customs	Unknown	Santali	4	4.040404040404041
"OBJECTIVES OF THE STUDY: 
 To find out different values in Santali Culture"	language	Unknown	Santali	3	4.0
"Contextually, the history of Santali language is also much important to 
understand Santal community"	gender	Unknown	Santali	4	4.0
Soren, Santalia: Catalogue of Santali Manuscripts in Oslo, NIAS Reports, No	language	Unknown	Santali	3	4.0
"""Tribals celebrate Hool Maha festival"" (http://www"	festival	Unknown	Santali	2	4.0
"The Santali Language is part of the Austroasiatic family, distantly related to 
Vietnamese and Khmer"	gender	Unknown	Santali	4	4.0
Santali story literature has been created from these two parts as a subject	language	Unknown	Santali	3	4.0
 1987 – Santali Hor Gathao – Prof Digambar Hansda	language	Unknown	Santali	2	4.0
"These oral traditions continue to influence contemporary Santali
literature"	language	Unknown	Santali	3	4.0
"""Santali National Literature Award : Santali Sahitya Akademi"" (http
s://www"	language	Unknown	Santali	3	4.0
"Language Proficiency 
Proficiency in Santali is common, 
along with Bengali"	language	West Bengal	Santali	3	4.0
"A community  has 
been communicating their thoughts for a long time by speaking the Santali language"	gender	Unknown	Santali	4	4.0
"Then they decided it  is 
necessary to practice literature in this language"	language	Unknown	Santali	3	4.0
This Book has been the foundation of all later works on the Santali language	language	Unknown	Santali	3	3.9473684210526314
""" 'Santali film to be released soon' "" (https://web"	language	Unknown	Santali	2	3.9215686274509802
"Tribal Religions-Religious Beliefs and Practices among Santals, Manohar publications, New Delhi, 
1978"	customs	Unknown	Santali	4	3.9215686274509802
"[25]
Santali, like all Munda languages, is a suffixing agglutinating language"	language	Unknown	Santali	3	3.896103896103896
"The marriage system of Santal
community is very interesting and traditionally"	gender	Unknown	Santali	3	3.896103896103896
"” In 
Santal occupied areas, they speak to each other in the Santali language"	language	Unknown	Santali	3	3.896103896103896
"[22]
Culture
Festivals
15/05/2025, 12:34
Santal people - Wikipedia
https://en"	festival	Unknown	Santali	3	3.896103896103896
"The people who speak this language are known as the Santal people in the heart of the tribal 
community"	gender	Unknown	Santali	4	3.8834951456310676
"5 Hypothesis 
Like many other indigenous communities in Bangladesh, Santals have their own community life, 
language, and culture"	gender	Unknown	Santali	5	3.875968992248062
"""Syllabus for UGC NET Santali, Dec 2013"" (http://www"	language	Unknown	Santali	2	3.8461538461538463
"Kortal is a cymbal used during 
dances and festivals"	festival	Unknown	Santali	2	3.8461538461538463
"In the 
30's Ragunath Murmu, a professor in the village of Danbosh, devised a new Santali writing script"	language	Unknown	Santali	4	3.8461538461538463
Tribal Law And Justice: A Report On The Santal; (Vol	customs	Unknown	Santali	2	3.8461538461538463
 2012 – Santali Kahni Ganthar – Krisna Chandra Tudu	language	Unknown	Santali	2	3.8461538461538463
"""Post Colonial Struggle for
Language and Culture Rights: The Santal Narrative"""	customs	Unknown	Santali	3	3.8461538461538463
", Tribal Religions: Religious Beliefs and Practices among Santals, Manohar publications, New Delhi, 
1978"	customs	Unknown	Santali	4	3.8095238095238098
"[38]
Derivation
Verbs
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	3.79746835443038
"For which, he was capable in writing 
and reading the Santali language properly"	language	Unknown	Santali	3	3.79746835443038
"Santals are
predominant tribal community of Mayurbhanj
District of North Odisha"	gender	Odisha	Santali	3	3.79746835443038
"""Script as constellation among
Munda speakers: the case of Santali"" (https://dx"	language	Unknown	Santali	3	3.79746835443038
"com/resource-center/lang
uages/santali-localization/)"	language	Unknown	Santali	2	3.7735849056603774
"com/santali-films-not-ge
tting-government-help-aisfa)"	gender	Unknown	Santali	2	3.7735849056603774
"by SatkadiHota 
Santali Edition ByDamayanti Besra 
Pp"	language	Unknown	Santali	2	3.7735849056603774
"That is in 
accordance with the ‘scriptures’ [½¤stra]"	festival	Unknown	Santali	2	3.7735849056603774
Sadhu Ramchand Murmu, Santali Poet, known as Kabiguru	language	Unknown	Santali	2	3.7735849056603774
"org/wiki/Santali_language
11/23
There are no specific markers for the Imperative"	language	Unknown	Santali	3	3.75
"Sinha)  
 
 
THE CONCEPT OF PEACE AND VALUES IN SANTALI CULTURE:  A STUDY IN THE"	language	Unknown	Santali	3	3.75
"Many Mahashayas have contributed their valuable  Thoughts in 
Santali Literature"	language	Unknown	Santali	3	3.75
"3)  Find out important theories about Santali language and literature 
4) Globalizing the value of language"	language	Unknown	Santali	4	3.7383177570093453
"'
Imperative
Finiteness
15/05/2025, 12:32
Santali language - Wikipedia
https://en"	language	Unknown	Santali	3	3.7037037037037033
"Before the invention of Ol Chiki script, Santali was written in Bangla, Devanagari, Kalinga and Latin
script"	language	Unknown	Santali	4	3.7037037037037033
The kulhi is the most useful place in a Santal village	social	Unknown	Santali	2	3.7037037037037033
"The Santhal economy is primarily 
based on agriculture"	farming	Unknown	Santali	2	3.7037037037037033
They would relax themselves with light music and dance	festival	Unknown	Santali	2	3.7037037037037033
"In 1914 he also completed 
the translation of the Bible into the Santali Language"	language	Unknown	Santali	3	3.7037037037037033
"Santhali language & 
literature are also not beyond it"	language	Unknown	Santali	2	3.7037037037037033
"[6]  
The history of Santali story literature is hidden within this time division"	language	Unknown	Santali	3	3.7037037037037033
"And how rich 
Santali story literature is clearly understood through this article"	language	Unknown	Santali	3	3.7037037037037033
„Santali‟ is the language of the Santals, which has its place in the family of Austric languages (Toru, 2008)	gender	Unknown	Santali	4	3.669724770642202
"A Few Notable Christian Missionaries and Their Valuable Contributions on Santali Language and 
Literatures 
4"	language	Unknown	Santali	4	3.669724770642202
"The Santali culture is portrayed in the images and in the artworks 
at their walls"	language	Unknown	Santali	3	3.6585365853658534
J, Tribal Heritage: A Study of the Santals, Gyan publishing house, New Delhi, 1949	housing	Unknown	Santali	3	3.6585365853658534
"It is also described as a tribal
religion, and it means belief in spiritual beings"	customs	Unknown	Santali	3	3.6585365853658534
"15/05/2025, 12:34
Santali cinema - Wikipedia
https://en"	language	Unknown	Santali	2	3.6363636363636362
"34 In 1873, Skrefsrud, a Norwegian missionary, wrote the first Santali-language grammar using
the Roman script"	language	Unknown	Santali	4	3.6363636363636362
They are both cast out of the community and the village	social	Unknown	Santali	2	3.6363636363636362
A) What do you think about the future of Santal culture	customs	Unknown	Santali	2	3.6363636363636362
The first attempt for a Santali grammar was made by Rev	language	Unknown	Santali	2	3.6363636363636362
"Men and 
 
Page | 94 
women are totally dependent on agriculture for their survival"	gender	Unknown	Santali	3	3.614457831325301
"Many 
Santal writers have spent their valuable time on this language and literature"	language	Unknown	Santali	3	3.614457831325301
"She has no
experience of wearing two-part traditional Santali
dress in her lifetime"	festival	Unknown	Santali	3	3.614457831325301
The Dishom Beura, India's First Santali Daily News Paper	language	Unknown	Santali	2	3.571428571428571
"15/05/2025, 12:34
Ol Chiki script - Wikipedia
https://en"	language	Unknown	Santali	2	3.571428571428571
"Diversified practices are making mixed ideas what is absolutely creating a 
massive problem for Santali cultures"	language	Unknown	Santali	4	3.571428571428571
"The tribes are also involved in 
fishing and agriculture"	farming	Unknown	Santali	2	3.571428571428571
But the dress of santal women varies from place to place	gender	Unknown	Santali	2	3.571428571428571
Santalization also opposes the hierarchic caste ideology	language	Unknown	Santali	2	3.571428571428571
"Their children generally learn both Bangla and Santali languages at their early 
age"	language	Unknown	Santali	3	3.571428571428571
That certainly proves the richness of the Santal culture	customs	Unknown	Santali	2	3.571428571428571
"Every tale comprises some or other customs and 
cultures"	customs	Unknown	Santali	2	3.571428571428571
"As a part of Santali main literature, this 
story literature occupies the best place"	language	Unknown	Santali	3	3.571428571428571
"Materials for a Santali Grammar I, Dumka 1922
Bodding, P"	language	Unknown	Santali	2	3.571428571428571
"The Santals have their own language known as
Santali which belongs to the Munda family of
languages (Ghurye, ‘32)"	gender	Unknown	Santali	4	3.5398230088495577
"org/wiki/Santali_language
13/23
Kanehito
Kanehito
Yamada
Yamada
Frieren=e
Frieren=3sg"	language	Unknown	Santali	3	3.5294117647058822
"Introduction :   
The limit of Santali folk literature and written literature is 1854"	language	Unknown	Santali	3	3.5294117647058822
"""
15/05/2025, 12:34
Santali cinema - Wikipedia
https://en"	language	Unknown	Santali	2	3.508771929824561
"org/wiki/Ol_Chiki_script
7/10
Google's Noto Sans Ol Chiki"	language	Unknown	Santali	2	3.508771929824561
The indigenous identity of the Santals must be recognized	customs	Unknown	Santali	2	3.508771929824561
"Witchcraft Tales 
Witchcraft's belief in Santal is strong"	customs	Unknown	Santali	2	3.508771929824561
"The Santal house
itself is a symbolic identity of Santals"	housing	Unknown	Santali	2	3.508771929824561
"studies in
Santali, among nine other tribal languages, and
presents a detailed and thoughtfully prepared
syllabus40"	language	Unknown	Santali	4	3.4782608695652173
"Bangladesh, Nepal and 
Bhutan, is a language in the Santali subfamily of Austro- Asiatic, related to ho and Mundari"	gender	Unknown	Santali	4	3.4782608695652173
"org/wiki/Santali_language
2/23
Distribution of Santali language
A girl speaking Santali"	language	Unknown	Santali	3	3.4482758620689653
"Food 
habit, 
dress, 
festivals, 
Traditional 
occupations"	festival	Unknown	Santali	2	3.4482758620689653
"Some Santali parents decide Santali language as a medium of their children‟s 
education"	language	Unknown	Santali	3	3.4482758620689653
"The Santali language has been taught
in Odisha from primary school to university levels"	language	Odisha	Santali	3	3.4482758620689653
Rights of the indigenous Santals must be established (76%)	customs	Unknown	Santali	2	3.4482758620689653
Dominance of Bangla culture is a threat for Santal culture	customs	Unknown	Santali	2	3.4482758620689653
"""Expressives in the Santali Poetry of Sadhu Ramchand Murmu"	language	Unknown	Santali	2	3.4482758620689653
"Abstract :  
The Santali race is a branch of the Austro-Asiatic language family of the main Eurasian language family"	gender	Unknown	Santali	4	3.4482758620689653
 2011 – Santali Pahra – Thakurdas Murmu (Translate Story)	language	Unknown	Santali	2	3.4482758620689653
"The Santals of Nepal live in small villages which
usually consists of 5-20 small houses"	housing	Unknown	Santali	3	3.4482758620689653
"A brief  discussion of this language and literature is 
given below in descriptive form"	language	Unknown	Santali	3	3.4482758620689653
"com/resource-c
enter/languages/santali-localization/) from the original on 17 March
2016"	language	Unknown	Santali	3	3.4090909090909087
"After that in  1952 called ‘An 
Introduction  to the Santali language’  Published a book"	language	Unknown	Santali	3	3.4090909090909087
"” Language policy, 
culture, and identity in Asian contexts"	customs	Unknown	Santali	2	3.389830508474576
The Santal tribes of India have a typical tribal life style	customs	Unknown	Santali	2	3.389830508474576
Not a single man denies that the Santal culture is changing	customs	Unknown	Santali	2	3.389830508474576
Women's place in the family and society is not equal to men	gender	Unknown	Santali	2	3.389830508474576
Mitchell published “Santali Songs with Translations” and Mr	language	Unknown	Santali	2	3.389830508474576
The Santali Cluster in Bangladesh: A Sociolinguistic Survey	language	Unknown	Santali	2	3.389830508474576
